"%store_name - product back in stock alert","$store_name - alerte sur le retour en stock du produit"
"%store_name - product back in stock notification","%store_name - Article à nouveau disponible"
"%store_name - product back in stock subscription confirmation","%store_name - Confirmation de l'abonnement pour les produits en rupture de stock"
"Add Date","Ajouter une date"
"Back in stock subscription has been confirmed.","L'abonnement de retour en stock a été confirmé."
"Bitte bestätigen Sie, dass Sie Benachrichtigungen in Ihrem Browser erhalten möchten.","Veuillez confirmer que vous souhaitez recevoir des notifications dans votre navigateur."
"Bitte klicken Sie hier für die Bestätigung:","Veuillez cliquer ici pour la confirmation:"
"Confirmation Email Template","Gabarit de l’email de confirmation"
"Correctly unsubscribed from back in stock notification.","Vous avez désactivé avec succès l'abonnement de disponibilité."
"Customer Email","Email du client"
"Customer ID","ID de client"
"Email Address","Adresse email"
"Email Sender","Expéditeur de l’email"
"Hello, %name","Bonjour, %name"
"If you have not subscribed to this product yet, a request to confirm your subscription will be sent to your email. If you have subscribed to this product in the last %1 hours, check your email - the confirmation request should already be there.","Si vous n'avez pas encore souscrit à ce produit, une demande de confirmation de votre abonnement sera envoyée à votre e-mail. Si vous vous êtes abonné à ce produit au cours des dernières 24 heures, vérifiez votre e-mail - la demande de confirmation devrait déjà s'y trouver."
"If your product comes back in stock, we'll email you.","Si votre produit revient en stock, nous vous enverrons un e-mail."
"In Stock","En stock"
"Last Notified","Dernière notification"
"Let me know by push notification","Activer les notifications push"
"My Back In Stock Notifications","Mes notifications de retour en stock"
"Notify me by e-mail","Avertir par e-mail"
"Out of Stock","En rupture de stock"
"Please click following link if you wish to decline the subscription:","Veuillez cliquer ici pour refuser:"
"Please click following link to confirm your subscription:","Veuillez cliquer sur le lien suivant pour confirmer votre abonnement :"
"Please click the following link to purchase the product:","Veuillez cliquer sur le lien suivant pour accéder au produit :"
"Product ID","ID de produit"
"Request Date","Date de la demande"
"Send Count","Nombre d’envois"
"Stock Status","État du stock"
"Subscribe Date","Date de l’abonnement"
"The product you have subscribed for is back in stock:","Le produit pour lequel vous vous êtes abonné est de nouveau en stock :"
"There are no customers for this alert.","Aucun client pour cette alerte."
"This subscription request has been already confirmed.","Cette demande d'abonnement a déjà été confirmée."
"to back-in-stock notifications.","pour une notification de disponibilité de stock."
"Unsubscribe from this back in stock notification:","Désactiver cette notification de disponibilité:"
"You are successfully subscribed for back in stock notification.","Vous vous êtes inscrit avec succès à l'abonnement de disponibilité."
"You have been already unsubscribed from back in stock notification.","Vous avez déjà été désabonné de la notification de rupture de stock."
"You have been unsubscribed from back in stock notification.","Vous avez été désabonné de la notification de retour en stock."
"You have no back in stock subscriptions yet.","Actuellement vous n’avez pas des abonnement de disponibilité activés."
"You have subscribed with your e-mail address","Vous vous êtes inscrit avec votre adresse e-mail"
"Your Email Address","Votre adresse e-mail"
Delete,Supprimer
Email,E-mail
Enabled,Activé
General,Général
Name,Nom
Product,Produit
Sent,Envoyé
SKU,Réf.
Status,Statut
Unsubscribe,Désabonner
