"Product ID","Product ID"
"There are no customers for this alert.","Er zijn geen klanten voor deze waarschuwing"
"Customer ID","Klant ID"
Email,E-mail
"Subscribe Date",Inschrijvingsdatum
"Last Notified","Laatste melding"
"Send Count","Telling versturen"
Sent,Verstuurd
"Email Address",E-mailadres
SKU,Art.nr.
Name,Naam
"Stock Status",Voorraadstatus
Action,Actie
"In Stock","Op voorraad"
"Out of Stock","Niet op voorraad"
Actions,Acties
Delete,Verwijderen
Unsubscribe,Uitschrijven
Send,Verzenden
General,Algemeen
Enabled,Ingeschakeld
"Email Sender","E-mail Afzender"
"Confirmation Email Template","Bevestiging e-mail sjabloon"
Id,Id
"Customer Email","Klant e-mail"
Product,Product
"Add Date","Datum toevoegen"
Status,Status
"Notify me by e-mail","Verwittig mij per e-mail"
