"There are no customers for this alert.","Não existem clientes para este alerta."
Email,"Correio electrónico"
"Subscribe Date","Data de Subscrição"
"Last Notified","Última Notificação"
"Send Count","Número de Envios"
Sent,Enviada
"Email Address","Endereço de Email"
SKU,REF
Name,Nome
"Stock Status","Estado do Stock"
Action,Ação
"In Stock","Em Stock"
"Out of Stock","Sem Stock"
Actions,Ações
Delete,Eliminar
Unsubscribe,"Cancelar Subscrição"
General,Geral
Enabled,Ativo
"Email Sender","Remetente de E-mail"
"Confirmation Email Template","Template do E-mail de Confirmação"
Product,Produto
"Add Date","Adicionar Data"
Status,Estado
"Please, select all product attributes.","Seleccione todos os atributos do produto."
